Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2022","2022","7021","Annual value","USD","557.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2022","2022","7021","Annual value","USD","893.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2022","2022","7021","Annual value","USD","396.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2022","2022","7021","Annual value","USD","2328.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2022","2022","7021","Annual value","USD","341","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2022","2022","7021","Annual value","USD","558.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2022","2022","7021","Annual value","USD","485.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2022","2022","7021","Annual value","USD","1105","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2022","2022","7021","Annual value","USD","1017.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01373","Chestnuts, in shell","2022","2022","7021","Annual value","USD","1481","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","2022","7021","Annual value","USD","652.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01232","Cucumbers and gherkins","2022","2022","7021","Annual value","USD","633.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01314","Dates","2022","2022","7021","Annual value","USD","447.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01233","Eggplants (aubergines)","2022","2022","7021","Annual value","USD","962.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01315","Figs","2022","2022","7021","Annual value","USD","963.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01330","Grapes","2022","2022","7021","Annual value","USD","582.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01252","Green garlic","2022","2022","7021","Annual value","USD","1028.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2022","2022","7021","Annual value","USD","5205","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01254","Leeks and other alliaceous vegetables","2022","2022","7021","Annual value","USD","379.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01322","Lemons and limes","2022","2022","7021","Annual value","USD","685.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01214","Lettuce and chicory","2022","2022","7021","Annual value","USD","832.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2022","2022","7021","Annual value","USD","432.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21111.01b","Meat of cattle with the bone, fresh or chilled (biological)","2022","2022","7021","Annual value","USD","4073.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21121b","Meat of chickens, fresh or chilled (biological)","2022","2022","7021","Annual value","USD","3180.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21116b","Meat of goat, fresh or chilled (biological)","2022","2022","7021","Annual value","USD","2588.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21113.01b","Meat of pig with the bone, fresh or chilled (biological)","2022","2022","7021","Annual value","USD","3913.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21115b","Meat of sheep, fresh or chilled (biological)","2022","2022","7021","Annual value","USD","2603.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2022","2022","7021","Annual value","USD","6160.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02910","Natural honey","2022","2022","7021","Annual value","USD","13793.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0117","Oats","2022","2022","7021","Annual value","USD","471.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01450","Olives","2022","2022","7021","Annual value","USD","885.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","7021","Annual value","USD","448.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01253.01","Onions and shallots, green","2022","2022","7021","Annual value","USD","804.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01323","Oranges","2022","2022","7021","Annual value","USD","497","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01241.90","Other beans, green","2022","2022","7021","Annual value","USD","1255.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2022","2022","7021","Annual value","USD","3934.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01345","Peaches and nectarines","2022","2022","7021","Annual value","USD","623.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01342.01","Pears","2022","2022","7021","Annual value","USD","935.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01242","Peas, green","2022","2022","7021","Annual value","USD","991.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01346","Plums and sloes","2022","2022","7021","Annual value","USD","724.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2022","2022","7021","Annual value","USD","460.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01235","Pumpkins, squash and gourds","2022","2022","7021","Annual value","USD","654.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01342.02","Quinces","2022","2022","7021","Annual value","USD","802.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2022","2022","7021","Annual value","USD","533.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02292","Raw milk of goats","2022","2022","7021","Annual value","USD","696.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02291","Raw milk of sheep","2022","2022","7021","Annual value","USD","962.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0116","Rye","2022","2022","7021","Annual value","USD","560.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02941","Shorn wool, greasy, including fleece-washed shorn wool","2022","2022","7021","Annual value","USD","327.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0141","Soya beans","2022","2022","7021","Annual value","USD","762.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01215","Spinach","2022","2022","7021","Annual value","USD","887.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2022","2022","7021","Annual value","USD","1198.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01324","Tangerines, mandarins, clementines","2022","2022","7021","Annual value","USD","434.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01234","Tomatoes","2022","2022","7021","Annual value","USD","650.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01970","Unmanufactured tobacco","2022","2022","7021","Annual value","USD","4610.9","A","Official figure"
